,Restaurant,Ranking,Reviews,Price,Range_price,Cousine_type,Address,Phone,Site,Area,Near,Url
0,Caffè Italiano,"4,0 ",1.083 recensioni,€€-€€€,,"Italiana, Pizza, Mediterranea, Toscana, Italiana (centro)","Via Isola delle Stinche, 11R-13R, 50122, Firenze Italia",+39 055 289080,,Duomo,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d716344-Reviews-Caffe_Italiano-Florence_Tuscany.html
1,Gustarium,"5,0 ",1.990 recensioni,€,,"Pizza, Mediterranea, Italiana, Fast food, Salutistica, Birreria, Internazionale","Via Dei Cimatori 24/r, 50122, Firenze Italia",+39 055 283469,,Duomo,"0,1 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d14028759-Reviews-Gustarium-Florence_Tuscany.html
2,Degusteria Italiana agli Uffizi,"5,0 ",689 recensioni,€€-€€€,,"Mediterranea, Salutistica, Wine Bar, Italiana, Toscana","Via Lambertesca 7r A Pochi Metri Dal Museo Uffizi, 50122, Firenze Italia",+39 055 493 9867,,Centro storico di Firenze,"0,1 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d17373283-Reviews-Degusteria_Italiana_agli_Uffizi-Florence_Tuscany.html
3,180 Grammi Burgers & Beers,"5,0 ",80 recensioni,,,Italiana,"Via Pietrapiana 11/ R Via Pietrapiana 11/ R, 50121, Firenze Italia",+39 055 386 0476,,Santa Croce,"0,6 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d21215259-Reviews-180_Grammi_Burgers_Beers-Florence_Tuscany.html
4,Pitti Express,"5,0 ",85 recensioni,€,,"Caffè, Wine Bar, Toscana, Salutistica, Fast food, Cibo di strada","Via Romana 40/r, 50125, Firenze Italia",+39 055 627 8178,,Oltrarno,"0,6 km da Ponte Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d17479249-Reviews-Pitti_Express-Florence_Tuscany.html
5,Mangiapepe,"5,0 ",347 recensioni,€€-€€€,,"Italiana, Mediterranea, Europea, Toscana, Italiana (centro)","Via De' Macci 61/r Zona S.Ambrogio, 50122, Firenze Italia",+39 333 138 4921,,Santa Croce,"0,4 km da Basilica di Santa Croce",https://www.tripadvisor.it/Restaurant_Review-g187895-d14509529-Reviews-Mangiapepe-Florence_Tuscany.html
6,Cibleo,"4,5 ",82 recensioni,€€€€,,Asiatica,"Via Andrea del Verrocchio 2r, 50122, Firenze Italia",+39 055 247 7881,,Santa Croce,"0,7 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d12786541-Reviews-Cibleo-Florence_Tuscany.html
7,I' Girone De' Ghiotti,"5,0 ",3.293 recensioni,€,,"Italiana, Fast food, Mediterranea, Europea, Gastronomia, Cibo di strada, Toscana, Italiana (centro)","Via dei Cimatori 23/Rosso, 50122, Firenze Italia",+39 055 532 6053,,Duomo,"0,1 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d12141831-Reviews-I_Girone_De_Ghiotti-Florence_Tuscany.html
8,Pizzagnolo - Pizza e Sfizi,"5,0 ",76 recensioni,€€-€€€,,"Pizza, Italiana","Via Dell' Agnolo 105/107R, 50122, Firenze Italia",+39 055 248 0200,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d21147551-Reviews-Pizzagnolo_Pizza_e_Sfizi-Florence_Tuscany.html
9,Bambi Trippa e Lampredotto,"5,0 ",150 recensioni,€,,,"Mercato Centrale, Via Dell' Ariento Interno Mercato Centrale di San Lorenzo, piano terra, 50123, Firenze Italia",+39 055 238 1765,,Centro storico di Firenze,"0,4 km da Museo dell'Opera del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d17729618-Reviews-Bambi_Trippa_e_Lampredotto-Florence_Tuscany.html
10,SENZ'ALTRO Bistrot,"5,0 ",1.094 recensioni,€€-€€€,,Salutistica,"Borgo la Croce 21/r angolo Piazza Beccaria, 50121, Firenze Italia",+39 055 243824,,Santa Croce,"0,9 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d15272936-Reviews-SENZ_ALTRO_Bistrot-Florence_Tuscany.html
11,La Nicchietta in Calimaruzza,"5,0 ",170 recensioni,€,,"Italiana, Wine Bar, Toscana, Italiana (centro)","Via Calimaruzza 12R, 50123, Firenze Italia",+39 055 614 2647,,Centro storico di Firenze,"0,2 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d18937487-Reviews-La_Nicchietta_in_Calimaruzza-Florence_Tuscany.html
12,Osteria Vecchio Cancello,"4,5 ",1.542 recensioni,€€-€€€,,Toscana,"Via Guelfa 138r Ristorante con pedana e giardino privato al 100blu, 50129, Firenze Italia",+39 055 494234,,Centro storico di Firenze,"0,6 km da Museo di San Marco",https://www.tripadvisor.it/Restaurant_Review-g187895-d8322795-Reviews-Osteria_Vecchio_Cancello-Florence_Tuscany.html
13,Ristorante La Cupola,"5,0 ",174 recensioni,€€-€€€,,"Steakhouse, Italiana (centro), Italiana, Toscana","Via Matteo Palmieri 31/R, 50122, Firenze Italia",+39 055 035 4280,,Duomo,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d21182776-Reviews-Ristorante_La_Cupola-Florence_Tuscany.html
14,Ristorante Brandolino,"5,0 ",1.107 recensioni,€€-€€€,,"Italiana, Toscana, Italiana (centro)","Piazza di Madonna Degli Aldobrandini 3/R Centro Storico Firenze, 50123, Firenze Italia",+39 055 399 7593,,Centro storico di Firenze,"0,3 km da Museo dell'Opera del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d9704320-Reviews-Ristorante_Brandolino-Florence_Tuscany.html
15,Ristorante OLIVIERO 1962,"4,5 ",1.502 recensioni,€€-€€€,,"Steakhouse, Mediterranea, Salutistica, Toscana, Italiana (centro), Contemporanea","Via delle Terme , 51/R Angolo Via Tornabuoni, 50123, Firenze Italia",+39 055 389 6135,,Centro storico di Firenze,"0,2 km da Ponte Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d716333-Reviews-Ristorante_OLIVIERO_1962-Florence_Tuscany.html
16,Matto Matto,"5,0 ",424 recensioni,€€-€€€,,"Italiana, Steakhouse, Pizza, Mediterranea, Toscana, Italiana (centro)","Via Nazionale 122r, 50123, Firenze Italia",+39 055 269 3813,,Centro storico di Firenze,"0,5 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d14175837-Reviews-Matto_Matto-Florence_Tuscany.html
17,Osteria del Proconsolo,"4,5 ",4.728 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Via del Proconsolo, 59/r, 50122, Firenze Italia",+39 055 213069,,Duomo,"0,1 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d3245371-Reviews-Osteria_del_Proconsolo-Florence_Tuscany.html
18,Osteria del Fiore,"5,0 ",164 recensioni,€€-€€€,,"Italiana, Steakhouse, Pizza, Mediterranea, Toscana, Italiana (centro)","Piazza del Duomo, 57r, 50122, Firenze Italia",+39 055 493 4656,,Duomo,"0,1 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d21204987-Reviews-Osteria_del_Fiore-Florence_Tuscany.html
19,Osteria Antica Casa Torre,"5,0 ",286 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro), Grill","Piazza San Pier Maggiore 7r, 50122, Firenze Italia",+39 055 933 5703,,Duomo,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d19451199-Reviews-Osteria_Antica_Casa_Torre-Florence_Tuscany.html
20,Le Cappelle Medicee,"4,5 ",3.852 recensioni,€€-€€€,,"Italiana, Salutistica, Toscana, Italiana (centro)","Via del Canto dei Nelli, 30R, 50122, Firenze Italia",+39 055 628 7005,,Centro storico di Firenze,"0,4 km da Duomo - Cattedrale di Santa Maria dei Fiore",https://www.tripadvisor.it/Restaurant_Review-g187895-d3206394-Reviews-Le_Cappelle_Medicee-Florence_Tuscany.html
21,Panini Toscani,"5,0 ",5.001 recensioni,€,,"Italiana, Salutistica, Toscana, Italiana (centro), Cibo di strada","Piazza del Duomo, 34/R Vicino al Museo dell'Opera del Duomo, 50122, Firenze Italia",+39 335 572 5544,,Duomo,"0,1 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d7975400-Reviews-Panini_Toscani-Florence_Tuscany.html
